order_item_id,order_id,product_id,quantity,unit_price_inr,discount_pct,line_sales_inr,line_cost_inr
90001,50001,20027,2,552.0,0,1104.0,624.0
90002,50002,20869,2,423.0,5,803.7,596.0
90003,50003,20330,1,3108.0,5,2952.6,1905.0
90004,50004,20979,4,819.0,5,3112.2,2168.0
90005,50005,21125,1,872.0,0,872.0,720.0
90006,50006,21122,2,703.0,0,1406.0,804.0
90007,50007,21472,1,1558.0,10,1402.2,998.0
90008,50008,21414,1,1747.0,10,1572.3,1044.0
90009,50008,20338,1,3261.0,15,2771.85,2577.0
90010,50009,20606,1,1163.0,15,988.55,974.0
90011,50010,21481,3,2817.0,10,7605.9,5943.0
90012,50011,20722,3,1145.0,25,2576.25,2625.0
90013,50012,20087,3,1647.0,15,4199.85,3420.0
90014,50012,21496,1,502.0,25,376.5,351.0
90015,50013,21065,4,2891.0,15,9829.4,7896.0
90016,50013,20518,1,1878.0,0,1878.0,1059.0
90017,50014,20126,1,515.0,0,515.0,344.0
90018,50015,21051,2,1982.0,0,3964.0,2578.0
90019,50016,20419,2,2036.0,0,4072.0,2254.0
90020,50017,21346,1,1161.0,10,1044.9,711.0
90021,50017,20799,1,1536.0,15,1305.6,1058.0
90022,50018,20294,1,2253.0,0,2253.0,1861.0
90023,50019,20277,2,1174.0,25,1761.0,1722.0
90024,50019,20299,1,994.0,0,994.0,663.0
90025,50020,20812,2,815.0,0,1630.0,1058.0
90026,50020,20813,1,1555.0,0,1555.0,894.0
90027,50021,21069,1,1467.0,15,1246.95,884.0
90028,50021,21177,1,1005.0,0,1005.0,558.0
90029,50022,21490,1,2995.0,10,2695.5,1908.0
90030,50023,20850,3,2003.0,15,5107.65,4380.0
90031,50023,20946,1,1049.0,0,1049.0,690.0
90032,50023,20037,1,718.0,15,610.3,482.0
90033,50024,20964,1,358.0,25,268.5,228.0
90034,50025,20743,2,2071.0,10,3727.8,2478.0
90035,50026,21190,3,1160.0,0,3480.0,2781.0
90036,50027,20507,1,934.0,25,700.5,590.0
90037,50028,20335,1,892.0,0,892.0,745.0
90038,50028,20507,1,934.0,0,934.0,590.0
90039,50029,21356,2,1180.0,10,2124.0,1686.0
90040,50030,20097,2,1120.0,20,1792.0,1776.0
90041,50030,20928,2,934.0,0,1868.0,1508.0
90042,50031,21410,1,2282.0,0,2282.0,1362.0
90043,50031,20385,3,1384.0,10,3736.8,2667.0
90044,50032,21190,1,1160.0,0,1160.0,927.0
90045,50032,20683,2,1845.0,20,2952.0,3002.0
90046,50033,20060,1,2261.0,5,2147.95,1780.0
90047,50033,20789,2,494.0,0,988.0,698.0
90048,50034,20613,1,1610.0,15,1368.5,1214.0
90049,50034,20020,2,3090.0,0,6180.0,4428.0
90050,50034,20167,1,1799.0,15,1529.15,1340.0
90051,50035,20440,1,6760.0,5,6422.0,4807.0
90052,50035,20740,2,1076.0,0,2152.0,1522.0
90053,50036,20303,3,1163.0,15,2965.65,2676.0
90054,50037,20322,2,866.0,5,1645.4,1142.0
90055,50038,20875,2,825.0,0,1650.0,1384.0
90056,50038,20080,2,2450.0,0,4900.0,2930.0
90057,50039,21326,1,292.0,0,292.0,226.0
90058,50040,21251,4,1292.0,0,5168.0,3000.0
90059,50040,21394,2,2139.0,5,4064.1,2938.0
90060,50041,20431,1,881.0,0,881.0,704.0
