order_id,customer_id,order_date,order_status,sales_channel,coupon_code
50001,11745,2026-04-25,Cancelled,Website,NONE
50002,14533,2025-05-20,Delivered,Mobile App,NONE
50003,13164,2024-10-29,Delivered,Website,NONE
50004,12458,2024-03-21,Shipped,Website,FEST15
50005,11656,2024-10-26,Delivered,Website,NONE
50006,10447,2025-03-03,Delivered,Mobile App,NONE
50007,10556,2024-03-22,Delivered,Website,NONE
50008,13584,2024-11-15,Delivered,Mobile App,NONE
50009,11371,2026-06-19,Delivered,Marketplace,NONE
50010,10371,2024-09-11,Delivered,Mobile App,NONE
50011,12192,2025-01-16,Processing,Mobile App,FEST15
50012,11981,2025-09-16,Delivered,Website,SAVE10
50013,14790,2026-05-08,Delivered,Website,NONE
50014,11152,2026-06-13,Delivered,Website,FEST15
50015,11338,2026-02-26,Delivered,Marketplace,NONE
50016,10824,2024-05-22,Processing,Mobile App,NONE
50017,10942,2024-04-18,Delivered,Website,SAVE10
50018,12668,2025-12-20,Delivered,Marketplace,SAVE10
50019,11115,2026-05-08,Shipped,Mobile App,NONE
50020,13599,2025-08-26,Delivered,Mobile App,NONE
50021,14088,2026-06-05,Delivered,Website,SAVE10
50022,12436,2025-10-09,Shipped,Mobile App,NONE
50023,11198,2024-12-06,Delivered,Website,SAVE10
50024,14105,2026-03-30,Delivered,Website,NONE
50025,14832,2026-01-04,Delivered,Website,FEST15
50026,14587,2024-12-30,Delivered,Mobile App,BIG20
50027,14601,2025-07-25,Processing,Mobile App,BIG20
50028,14036,2025-07-16,Delivered,Website,NONE
50029,13692,2024-04-06,Delivered,Website,NONE
50030,14783,2024-09-25,Shipped,Website,NONE
50031,11698,2024-08-08,Delivered,Website,NONE
50032,14646,2024-10-02,Delivered,Marketplace,WELCOME5
50033,10103,2025-05-24,Delivered,Mobile App,SAVE10
50034,14163,2025-05-12,Delivered,Website,SAVE10
50035,11671,2026-04-12,Delivered,Mobile App,WELCOME5
50036,11464,2024-01-08,Delivered,Mobile App,SAVE10
50037,13377,2026-03-10,Delivered,Website,WELCOME5
50038,10872,2024-08-28,Delivered,Mobile App,SAVE10
50039,14970,2024-12-06,Shipped,Website,NONE
50040,13636,2024-05-27,Delivered,Website,NONE
50041,10096,2024-01-13,Processing,Mobile App,WELCOME5
50042,14228,2024-04-26,Delivered,Marketplace,NONE
50043,10540,2024-08-05,Delivered,Website,NONE
50044,14116,2025-01-08,Delivered,Mobile App,SAVE10
50045,14065,2024-10-29,Delivered,Mobile App,NONE
50046,13219,2024-04-11,Processing,Marketplace,NONE
50047,13003,2024-11-23,Delivered,Website,NONE
50048,14150,2024-05-29,Delivered,Website,SAVE10
50049,14253,2025-10-25,Delivered,Website,SAVE10
50050,13536,2025-10-10,Delivered,Website,BIG20
50051,10855,2024-03-01,Delivered,Marketplace,FEST15
50052,13327,2025-09-23,Delivered,Website,FEST15
50053,11008,2026-05-31,Delivered,Marketplace,FEST15
50054,10233,2026-07-05,Delivered,Website,NONE
50055,10759,2024-02-24,Delivered,Website,BIG20
50056,12303,2026-06-11,Delivered,Website,BIG20
50057,14819,2025-01-29,Shipped,Mobile App,NONE
50058,10170,2026-04-27,Delivered,Website,WELCOME5
50059,10371,2024-07-16,Delivered,Marketplace,NONE
50060,10462,2025-11-01,Cancelled,Website,FEST15
50061,10953,2026-02-17,Delivered,Marketplace,NONE
50062,12706,2024-09-15,Delivered,Website,BIG20
50063,14107,2025-12-16,Cancelled,Mobile App,
50064,10238,2024-06-21,Delivered,Website,FEST15
50065,14023,2025-11-19,Delivered,Mobile App,NONE
50066,14567,2026-07-09,Delivered,Mobile App,NONE
50067,10397,2024-10-17,Delivered,Website,NONE
50068,12252,2026-07-19,Shipped,Website,WELCOME5
50069,14074,2025-10-09,Delivered,Website,NONE
50070,13500,2025-05-04,Processing,Mobile App,NONE
50071,10926,2024-11-13,Delivered,Mobile App,NONE
50072,10739,2025-06-15,Delivered,Website,BIG20
50073,12229,2026-08-12,Delivered,Website,BIG20
50074,14238,2024-01-06,Shipped,Website,BIG20
50075,14744,2026-04-20,Delivered,Mobile App,NONE
50076,12391,2024-05-24,Delivered,Website,BIG20
50077,12648,2026-04-30,Delivered,Mobile App,BIG20
50078,12794,2025-06-13,Delivered,Mobile App,WELCOME5
50079,12451,2026-05-21,Delivered,Mobile App,NONE
50080,13243,2024-06-25,Processing,Mobile App,NONE
50081,11369,2024-02-16,Delivered,Website,FEST15
50082,12700,2025-04-09,Delivered,Marketplace,NONE
50083,13065,2026-01-24,Delivered,Website,NONE
50084,12816,2026-02-10,Delivered,Mobile App,NONE
50085,14875,2026-01-11,Shipped,Mobile App,WELCOME5
50086,13723,2026-02-15,Processing,Mobile App,NONE
50087,13672,2026-01-22,Delivered,Mobile App,NONE
50088,14033,2026-04-15,Shipped,Marketplace,SAVE10
50089,12639,2024-06-14,Shipped,Website,NONE
50090,11531,2024-08-16,Delivered,Mobile App,NONE
50091,12679,2024-01-04,Delivered,Website,NONE
50092,14611,2025-02-22,Delivered,Website,SAVE10
50093,14397,2024-09-12,Cancelled,Marketplace,NONE
50094,11770,2025-08-31,Shipped,Marketplace,SAVE10
50095,12416,2025-06-20,Delivered,Mobile App,SAVE10
50096,11362,2025-07-17,Delivered,Website,NONE
50097,10061,2025-09-30,Shipped,Mobile App,NONE
50098,11558,2026-08-27,Delivered,Marketplace,NONE
50099,10506,2024-04-13,Processing,Marketplace,NONE
50100,11793,2024-09-24,Delivered,Marketplace,NONE
50101,10269,2025-02-09,Delivered,Mobile App,NONE
50102,11585,2024-03-10,Delivered,Website,SAVE10
50103,13573,2026-03-04,Delivered,Website,NONE
50104,14219,2025-01-11,Delivered,Website,NONE
50105,14438,2024-06-10,Delivered,Website,BIG20
50106,12806,2025-05-17,Processing,Website,SAVE10
50107,12732,2024-07-05,Delivered,Mobile App,NONE
50108,14839,2025-01-10,Delivered,Mobile App,NONE
