return_id,order_item_id,return_date,return_reason,return_status,refund_amount_inr
180001,98402,2025-12-13,Wrong Item,Approved,699.56
180002,110171,2025-04-23,Quality Issue,Refunded,7997.24
180003,117357,2026-07-19,Size Issue,Refunded,592.24
180004,119983,2026-03-24,Damaged,Rejected,1134.57
180005,120759,2026-06-11,Quality Issue,Approved,997.01
180006,116435,2024-08-29,Changed Mind,Rejected,2593.98
180007,112320,2024-04-14,Damaged,Refunded,1356.91
180008,102894,2026-02-05,Quality Issue,Approved,2037.81
180009,107569,2026-08-07,Quality Issue,Refunded,1404.41
180010,100244,2024-09-17,Changed Mind,Refunded,4407.61
180011,101324,2025-01-04,Changed Mind,Refunded,611.69
180012,93377,2024-04-16,Changed Mind,Refunded,1785.32
180013,120866,2024-12-22,Size Issue,Rejected,610.67
180014,95530,2025-03-03,Damaged,Refunded,1068.13
180015,96854,2024-12-01,Changed Mind,Approved,1461.22
180016,109219,2026-07-02,Wrong Item,Refunded,1613.06
180017,109634,2025-07-15,Size Issue,Rejected,1649.38
180018,101152,2024-05-22,Size Issue,Approved,541.51
180019,105178,2026-03-26,Wrong Item,Rejected,891.01
180020,98625,2026-07-27,Size Issue,Refunded,6114.69
180021,106875,2026-05-17,Size Issue,Refunded,1303.64
180022,107222,2025-10-05,Size Issue,Refunded,802.31
180023,99117,2024-12-18,Size Issue,Approved,495.21
180024,115127,2024-03-20,Size Issue,Refunded,2150.78
180025,100209,2024-09-03,Quality Issue,Approved,1252.69
180026,119761,2025-06-21,Size Issue,Approved,821.93
180027,116775,2025-03-02,Quality Issue,Refunded,1073.29
180028,95620,2026-09-01,Size Issue,Approved,5727.66
180029,101544,2024-01-26,Quality Issue,Refunded,1079.96
180030,94665,2025-09-19,Quality Issue,Approved,17420.86
180031,90343,2026-06-11,Size Issue,Approved,1947.09
180032,90310,2025-11-11,Quality Issue,Approved,1293.74
180033,108086,2026-08-09,Quality Issue,Refunded,1221.76
180034,109332,2024-05-07,Damaged,Refunded,1449.97
180035,95817,2024-12-12,Changed Mind,Refunded,756.53
180036,106343,2025-07-24,Quality Issue,Refunded,360.0
180037,112470,2026-08-11,Damaged,Approved,759.02
180038,117431,2024-02-28,Size Issue,Refunded,773.95
180039,120628,2025-09-08,Damaged,Refunded,3550.93
180040,91661,2025-04-17,Size Issue,Rejected,3260.73
180041,101194,2026-01-30,Quality Issue,Approved,877.67
180042,100832,2024-11-02,Size Issue,Approved,1663.92
180043,93234,2026-04-30,Size Issue,Refunded,2736.94
180044,92816,2024-08-12,Damaged,Refunded,1774.55
180045,99609,2025-02-02,Wrong Item,Approved,1559.71
180046,97819,2026-01-02,Quality Issue,Refunded,1538.53
180047,91479,2025-07-10,Damaged,Refunded,1218.74
180048,93847,2025-05-07,Changed Mind,Refunded,792.68
180049,120588,2024-07-03,Wrong Item,Refunded,751.14
180050,102862,2026-03-03,Size Issue,Refunded,1705.87
180051,95110,2024-10-06,Damaged,Refunded,1424.0
180052,118427,2026-03-04,Size Issue,Approved,1465.96
180053,108090,2026-06-18,Quality Issue,Approved,4592.22
180054,96955,2024-10-29,Quality Issue,Approved,1478.95
180055,96639,2025-10-18,Size Issue,Refunded,1082.43
180056,119979,2026-01-05,Size Issue,Refunded,1114.84
180057,117010,2024-08-19,Size Issue,Refunded,1618.56
180058,100267,2025-11-24,Wrong Item,Refunded,2844.4
180059,95526,2026-02-26,Wrong Item,Refunded,3103.91
180060,106470,2026-02-24,Size Issue,Refunded,2886.42
180061,104536,2025-03-13,Size Issue,Refunded,729.04
180062,103379,2026-05-01,Quality Issue,Approved,2497.04
180063,109467,2026-01-02,Size Issue,Refunded,2668.58
180064,106667,2024-08-24,Wrong Item,Refunded,4567.79
180065,98721,2025-03-15,Changed Mind,Refunded,1825.18
180066,114647,2024-12-02,Quality Issue,Refunded,1252.65
180067,104846,2024-05-31,Damaged,Rejected,834.17
180068,102409,2026-05-06,Changed Mind,Refunded,1710.07
180069,113956,2025-03-05,Quality Issue,Rejected,625.67
180070,101732,2025-01-07,Quality Issue,Approved,712.29
180071,105461,2024-07-04,Size Issue,Refunded,6227.25
180072,115770,2024-02-25,Quality Issue,Refunded,3325.54
180073,105245,2026-06-14,Damaged,Approved,1632.28
180074,102053,2025-03-31,Size Issue,Approved,1577.15
180075,109425,2024-11-26,Changed Mind,Rejected,1991.92
180076,93893,2025-02-08,Changed Mind,Refunded,871.92
180077,91457,2025-02-19,Quality Issue,Approved,1455.64
180078,95807,2024-04-12,Quality Issue,Refunded,1358.57
180079,106669,2026-02-20,Wrong Item,Approved,1256.0
180080,100637,2024-11-12,Changed Mind,Approved,772.27
180081,101150,2025-04-15,Changed Mind,Refunded,3116.1
180082,110844,2024-11-22,Quality Issue,Approved,648.21
180083,113548,2024-09-08,Wrong Item,Approved,2629.39
180084,110429,2024-12-04,Wrong Item,Rejected,818.71
180085,116766,2025-06-24,Size Issue,Approved,764.65
180086,105364,2024-03-31,Damaged,Refunded,3271.3
180087,91398,2025-11-19,Changed Mind,Approved,1608.32
180088,109565,2026-07-01,Quality Issue,Refunded,704.69
180089,101542,2024-01-27,Size Issue,Refunded,3319.16
180090,103315,2025-12-11,Size Issue,Refunded,11947.78
180091,103036,2025-06-08,Wrong Item,Rejected,8661.09
180092,98895,2024-07-10,Damaged,Refunded,2780.17
180093,112157,2024-03-11,Damaged,Approved,4654.41
180094,101107,2024-09-26,Size Issue,Refunded,3343.72
180095,104249,2025-12-17,Quality Issue,Refunded,1678.59
180096,112437,2026-04-03,Quality Issue,Approved,452.87
180097,119809,2025-08-14,Damaged,Approved,2027.87
180098,105104,2024-02-07,Quality Issue,Approved,671.78
180099,109083,2025-09-19,Quality Issue,Approved,11560.23
180100,98140,2026-08-25,Quality Issue,Refunded,1604.9
180101,98790,2025-08-17,Damaged,Approved,5404.52
180102,113423,2025-12-02,Quality Issue,Refunded,1479.27
180103,90306,2024-02-29,Wrong Item,Refunded,457.44
180104,108868,2025-12-11,Quality Issue,Approved,1107.2
180105,92053,2024-03-06,Size Issue,Refunded,3485.19
180106,106236,2026-02-18,Damaged,Rejected,1719.7
180107,105726,2025-08-14,Quality Issue,Refunded,4816.7
180108,105152,2026-04-02,Changed Mind,Refunded,917.92
180109,97030,2026-04-07,Wrong Item,Approved,2150.78
180110,100957,2024-09-08,Size Issue,Refunded,2073.3
180111,93223,2024-03-20,Wrong Item,Refunded,1270.97
180112,95493,2026-05-11,Changed Mind,Refunded,557.72
180113,112891,2024-05-17,Quality Issue,Approved,1153.35
180114,113890,2024-04-12,Quality Issue,Approved,933.04
180115,115523,2024-08-10,Changed Mind,Refunded,3231.11
180116,108928,2026-04-22,Quality Issue,Refunded,293.41
180117,90513,2024-08-13,Damaged,Refunded,733.81
180118,94550,2026-06-12,Size Issue,Refunded,3393.57
180119,102148,2024-12-18,Wrong Item,Rejected,301.99
180120,104578,2025-09-01,Quality Issue,Approved,1500.55
180121,103169,2026-04-10,Wrong Item,Approved,1994.2
180122,118259,2024-09-18,Wrong Item,Refunded,2575.45
180123,107200,2025-03-17,Changed Mind,Rejected,213.65
180124,104247,2025-12-21,Size Issue,Approved,387.18
180125,95040,2024-08-18,Size Issue,Approved,2063.56
180126,94568,2025-02-21,Damaged,Approved,1442.2
180127,114210,2025-07-23,Quality Issue,Refunded,1164.03
180128,110221,2026-05-09,Changed Mind,Refunded,355.92
180129,119779,2025-11-17,Wrong Item,Approved,280.09
180130,118139,2024-09-07,Size Issue,Approved,697.69
180131,98510,2026-06-01,Quality Issue,Approved,196.35
180132,100062,2024-12-08,Wrong Item,Refunded,465.74
180133,111614,2026-07-29,Wrong Item,Approved,1997.27
180134,115696,2025-11-08,Quality Issue,Approved,1570.16
180135,105439,2026-07-08,Quality Issue,Approved,604.82
180136,108580,2024-02-25,Damaged,Approved,536.25
180137,113586,2026-04-17,Changed Mind,Refunded,2512.18
180138,112092,2024-11-14,Size Issue,Approved,618.64
180139,93488,2024-08-01,Wrong Item,Refunded,1228.03
180140,101153,2024-05-15,Changed Mind,Refunded,2301.53
180141,107564,2026-05-21,Size Issue,Refunded,1499.45
180142,109943,2024-01-19,Size Issue,Approved,1529.95
180143,115980,2025-02-28,Wrong Item,Approved,599.38
180144,108375,2025-11-04,Quality Issue,Approved,952.32
180145,97480,2026-07-21,Damaged,Approved,3752.17
180146,104002,2024-12-10,Quality Issue,Refunded,595.59
180147,119659,2024-12-02,Changed Mind,Approved,3690.05
180148,112196,2025-04-24,Damaged,Refunded,730.46
180149,101187,2025-01-31,Quality Issue,Refunded,3278.46
180150,113989,2026-01-30,Wrong Item,Rejected,1443.78
180151,107637,2025-09-25,Damaged,Refunded,673.66
180152,105878,2026-08-13,Quality Issue,Approved,6070.55
180153,117361,2026-08-21,Size Issue,Approved,1030.34
180154,101272,2026-02-01,Wrong Item,Refunded,1029.41
180155,99961,2024-03-22,Size Issue,Refunded,485.49
180156,108602,2026-01-11,Wrong Item,Approved,750.66
180157,109808,2026-01-24,Wrong Item,Approved,947.74
180158,112796,2026-02-12,Quality Issue,Approved,671.5
180159,116125,2025-12-18,Size Issue,Refunded,1756.36
180160,107755,2026-08-31,Size Issue,Refunded,595.58
