shipping_id,order_id,shipping_location_id,courier_partner,shipping_date,expected_delivery_date,actual_delivery_date,delivery_status
150001,50001,28,DTDC,2026-04-27,2026-04-29,2026-04-29,Delivered
150002,50002,39,Delhivery,2025-05-23,2025-05-26,,Returned
150003,50003,6,BlueDart,2024-10-30,2024-11-04,2024-11-06,Delivered
150004,50004,64,BlueDart,2024-03-22,2024-03-26,2024-03-25,Delivered
150005,50005,41,Ecom Express,2024-10-29,2024-11-03,2024-11-03,Delivered
150006,50006,54,DTDC,2025-03-06,2025-03-07,2025-03-10,Delivered
150007,50007,85,XpressBees,2024-03-23,2024-03-26,2024-03-29,Delivered
150008,50008,46,Delhivery,2024-11-16,2024-11-18,,Returned
150009,50009,77,BlueDart,2026-06-19,2026-06-23,,In Transit
150010,50010,96,Ecom Express,2024-09-14,2024-09-16,2024-09-15,Delivered
150011,50011,27,BlueDart,2025-01-18,2025-01-23,2025-01-22,Delivered
150012,50012,77,Ecom Express,2025-09-19,2025-09-24,2025-09-27,Delivered
150013,50013,53,XpressBees,2026-05-11,2026-05-14,2026-05-14,Delivered
150014,50014,5,Ecom Express,2026-06-13,2026-06-21,2026-06-23,Delivered
150015,50015,63,Delhivery,2026-02-26,2026-03-04,2026-03-07,Delivered
150016,50016,25,XpressBees,2024-05-24,2024-05-29,2024-06-01,Delivered
150017,50017,78,XpressBees,2024-04-19,2024-04-21,,Delayed
150018,50018,23,Delhivery,2025-12-20,2025-12-24,2025-12-26,Delivered
150019,50019,59,Delhivery,2026-05-08,2026-05-15,2026-05-14,Delivered
150020,50020,31,Ecom Express,2025-08-28,2025-09-03,2025-09-04,Delivered
150021,50021,6,Ecom Express,2026-06-06,2026-06-09,2026-06-08,Delivered
150022,50022,14,BlueDart,2025-10-10,2025-10-12,,In Transit
150023,50023,79,BlueDart,2024-12-06,2024-12-10,,In Transit
150024,50024,27,DTDC,2026-04-01,2026-04-03,2026-04-06,Delivered
150025,50025,40,XpressBees,2026-01-04,2026-01-09,2026-01-12,Delivered
150026,50026,70,Delhivery,2025-01-02,2025-01-07,2025-01-07,Delivered
150027,50027,35,DTDC,2025-07-26,2025-07-30,2025-08-02,Delivered
150028,50028,43,Ecom Express,2025-07-17,2025-07-20,2025-07-22,Delivered
150029,50029,76,XpressBees,2024-04-09,2024-04-11,2024-04-10,Delivered
150030,50030,1,DTDC,2024-09-28,2024-10-02,2024-10-02,Delivered
150031,50031,100,Delhivery,2024-08-09,2024-08-16,,Delayed
150032,50032,73,BlueDart,2024-10-04,2024-10-06,2024-10-05,Delivered
150033,50033,33,BlueDart,2025-05-27,2025-06-01,2025-06-03,Delivered
150034,50034,59,BlueDart,2025-05-15,2025-05-15,2025-05-14,Delivered
