review_id,order_item_id,customer_id,review_date,rating,review_text
220001,112648,13450,2025-06-16,5,Average
220002,95648,12380,2025-01-06,5,Average
220003,109958,12129,2024-03-01,5,Excellent
220004,108443,11116,2025-05-14,5,Could be better
220005,116837,13191,2026-03-30,4,Could be better
220006,93728,11912,2026-05-11,3,Poor quality
220007,107918,11864,2024-08-13,5,Could be better
220008,103620,12042,2025-07-03,5,Average
220009,107417,12527,2024-09-03,1,Poor quality
220010,101792,12118,2024-03-27,1,Excellent
220011,104732,14679,2026-03-05,5,Very good
220012,94220,14874,2024-03-26,5,Average
220013,91149,10427,2026-07-03,4,Excellent
220014,113940,14933,2025-11-07,2,Good
220015,119929,13195,2024-05-11,4,Average
220016,119059,11056,2026-01-28,4,Average
220017,105765,12766,2026-01-19,4,Could be better
220018,118239,14306,2026-08-05,4,Excellent
220019,114783,14421,2025-12-04,4,Good
220020,102933,14404,2025-08-19,5,Poor quality
220021,118001,10821,2026-08-22,5,Very good
220022,106853,13252,2024-08-28,4,Average
220023,114523,10102,2025-04-19,5,Good
220024,115756,12352,2024-06-19,3,Poor quality
220025,108589,12132,2025-07-13,4,Good
220026,91321,10524,2026-05-26,5,Good
220027,111494,10221,2025-03-19,4,Good
220028,119074,11849,2026-06-07,5,Could be better
220029,96284,13276,2024-11-15,4,Good
220030,111515,12303,2026-07-15,1,Good
220031,110699,12873,2026-01-24,4,Good
220032,120668,12077,2024-01-11,4,Good
220033,92308,12933,2025-12-30,2,Excellent
220034,100327,11156,2024-06-30,4,Excellent
220035,103594,11509,2026-02-12,4,Excellent
220036,117475,14421,2024-02-10,5,Good
220037,93326,14830,2026-07-11,4,Poor quality
220038,105372,10990,2025-04-30,2,Very good
220039,117382,14518,2025-02-08,5,Poor quality
220040,109411,11399,2026-06-18,4,Excellent
220041,101327,10330,2025-11-21,5,Good
220042,100556,12684,2026-06-09,4,Very good
220043,96164,14967,2026-03-02,4,Very good
220044,111987,13558,2024-07-30,3,Very good
220045,107893,11857,2025-04-21,5,Poor quality
220046,112624,13152,2025-10-14,5,Very good
220047,104306,10590,2024-09-24,5,Good
220048,96339,12149,2025-04-19,3,Excellent
220049,98651,12413,2024-03-24,2,Poor quality
220050,114229,13034,2026-06-18,3,Poor quality
220051,101137,10180,2026-04-20,5,Very good
220052,97127,10637,2025-03-26,4,Very good
220053,100757,13957,2026-04-08,3,Good
220054,93279,10001,2024-07-21,4,Good
220055,117898,14745,2025-01-22,5,Could be better
220056,93582,12499,2025-12-09,4,Good
220057,116205,13061,2025-06-02,3,Could be better
220058,102896,12059,2026-02-20,4,Excellent
220059,103140,10988,2026-03-22,5,Good
220060,120768,14493,2024-01-02,5,Very good
220061,105246,14674,2025-02-20,5,Excellent
220062,106589,11435,2024-07-10,3,Could be better
220063,116355,13229,2026-05-31,4,Very good
220064,120773,13308,2025-04-17,2,Poor quality
220065,115745,11963,2025-02-09,2,Poor quality
220066,117687,12660,2025-03-21,5,Poor quality
220067,100139,10932,2024-06-06,5,NULL
220068,114897,10653,2025-06-21,5,Good
220069,100871,11131,2026-02-09,4,Average
220070,94973,10823,2025-11-12,1,Average
220071,98400,10224,2025-08-06,5,Good
220072,112963,11548,2024-10-16,4,Could be better
220073,95808,12313,2025-04-26,5,Very good
220074,119383,10369,2025-04-05,4,Poor quality
220075,119853,13789,2025-12-30,5,Good
220076,106989,11043,2024-12-29,4,Could be better
220077,108356,14645,2025-12-26,3,Excellent
220078,118154,10726,2024-11-25,5,Good
220079,91430,10217,2025-04-03,5,Very good
220080,92295,14916,2024-10-16,5,Poor quality
220081,93724,12003,2025-02-07,4,Very good
220082,91639,14608,2025-10-25,5,Poor quality
220083,120760,14255,2026-02-13,5,Good
220084,115130,13175,2024-10-02,3,Could be better
220085,100507,10475,2025-08-23,5,Very good
220086,106547,10261,2026-06-12,5,Poor quality
220087,103313,14047,2026-05-31,3,Good
220088,104650,11570,2024-11-30,5,Excellent
220089,99905,10953,2025-09-16,5,Excellent
220090,99772,13621,2025-10-04,4,Good
220091,102659,13461,2026-04-28,3,Poor quality
220092,104226,11952,2025-08-07,5,Average
220093,118373,11998,2024-10-06,4,Average
220094,113839,11413,2024-06-05,3,Very good
220095,115919,11249,2025-11-28,5,Excellent
220096,118172,11031,2024-01-23,3,Excellent
220097,93072,11154,2026-01-03,1,Very good
220098,90751,11288,2025-03-22,5,Poor quality
220099,97676,10006,2026-03-03,3,Excellent
220100,106431,10607,2026-01-05,3,Excellent
220101,107032,13031,2025-06-28,5,Could be better
220102,106997,12137,2026-01-02,4,Average
220103,116888,11052,2025-09-13,4,Average
220104,120432,13372,2025-07-06,4,Could be better
220105,116507,14109,2024-03-19,3,Good
220106,117121,11392,2026-01-19,4,Good
220107,97282,12052,2024-04-15,1,Could be better
220108,100313,10772,2026-05-04,5,Very good
220109,93413,14326,2025-09-12,4,Very good
220110,95814,11486,2025-08-23,4,Very good
220111,94842,10878,2025-09-16,4,Could be better
220112,90784,12219,2024-08-11,4,Average
220113,114434,13480,2024-06-19,2,Good
220114,90997,10386,2026-06-16,4,Good
220115,92257,12646,2024-01-23,4,Could be better
220116,105381,11119,2026-05-05,5,Good
220117,110634,12330,2025-10-27,3,Very good
220118,94296,11695,2024-08-13,3,Average
220119,110332,14465,2024-03-25,5,Poor quality
220120,97331,14409,2024-09-03,5,Average
220121,91657,13535,2025-03-12,5,Could be better
220122,98430,10107,2025-10-28,5,Good
220123,110030,14076,2025-10-28,2,Could be better
220124,106562,12606,2025-12-22,3,Could be better
220125,95939,13576,2025-01-03,5,Excellent
220126,107105,12361,2026-06-26,5,Could be better
220127,96151,14670,2024-07-24,4,Could be better
220128,107319,14828,2024-01-03,4,Excellent
220129,113037,12569,2026-07-08,1,Poor quality
220130,119041,14325,2026-06-09,5,Very good
220131,115008,14649,2026-05-12,5,Very good
220132,108359,14447,2024-12-13,4,Could be better
220133,97680,11504,2026-03-03,4,Could be better
220134,94559,10489,2024-08-10,3,Average
220135,97448,14653,2026-01-18,5,Average
220136,97878,14157,2025-03-07,3,Could be better
220137,90502,12512,2024-04-14,4,Excellent
220138,113974,10221,2024-02-17,4,Average
220139,115704,14185,2025-05-11,1,Could be better
220140,99493,14561,2026-08-20,5,Could be better
220141,118335,10072,2024-08-07,3,Good
220142,97604,10874,2025-01-14,5,Average
220143,117026,11149,2025-05-02,4,Excellent
220144,97781,13076,2024-05-06,3,Average
220145,92639,14694,2025-06-26,5,Could be better
220146,120739,11173,2026-08-22,5,Very good
220147,102560,12605,2025-12-22,5,Good
220148,105024,14121,2025-07-10,4,Good
220149,108236,14430,2024-01-27,4,Very good
220150,99812,10917,2025-12-15,1,Average
220151,109490,12331,2025-07-27,5,Excellent
220152,106441,13156,2024-04-08,4,Good
220153,96479,13928,2024-04-07,3,Poor quality
220154,108554,10825,2024-05-09,4,Good
220155,110148,13190,2025-07-14,4,Poor quality
220156,104047,14789,2025-10-17,4,Good
220157,107916,10021,2024-11-29,2,Could be better
220158,107800,10767,2025-08-22,3,Excellent
220159,119374,13504,2025-08-13,4,Could be better
220160,115399,14170,2026-07-05,4,Excellent
220161,100601,10795,2026-05-26,5,Average
220162,96557,10443,2025-02-13,3,Good
220163,120334,12342,2026-03-30,5,Average
220164,90204,14739,2026-04-22,4,Could be better
220165,103094,10399,2024-09-22,4,Very good
220166,90861,10439,2026-06-09,3,Average
220167,109849,11600,2024-02-20,4,Average
220168,90385,11314,2026-04-04,4,Could be better
220169,105010,13517,2024-07-06,3,Excellent
220170,93762,12521,2025-10-30,3,Could be better
220171,94627,10167,2025-10-16,5,Excellent
220172,94867,10203,2024-11-24,4,Average
220173,109267,12012,2024-01-04,3,Good
220174,118775,10331,2025-03-25,4,Excellent
220175,99175,14625,2025-06-04,3,Could be better
220176,95758,10448,2025-05-23,5,Average
220177,107374,13375,2024-01-31,5,Very good
220178,105503,13103,2025-07-18,5,Average
220179,112743,13112,2025-09-04,4,Average
220180,119802,12642,2024-10-12,5,Average
220181,120713,14764,2024-12-17,2,Good
220182,119590,11187,2024-05-28,4,Very good
220183,102993,12797,2026-04-18,5,Average
220184,101169,10504,2024-09-12,4,Good
220185,120076,12013,2025-09-26,4,Excellent
220186,113808,14532,2024-02-14,5,Good
220187,96203,12775,2025-06-10,4,Very good
220188,93638,13948,2025-04-29,2,Good
220189,92347,10070,2025-09-04,1,Could be better
220190,104520,13669,2026-08-08,5,Average
220191,99342,10627,2025-04-17,3,Poor quality
220192,97828,11010,2025-04-08,5,Could be better
220193,108000,14255,2024-05-03,4,Good
220194,92967,10711,2024-06-11,5,Average
220195,92587,14379,2024-12-21,4,Could be better
220196,91905,10542,2025-02-09,5,Very good
220197,107180,12106,2025-09-21,4,Very good
220198,111713,11970,2026-02-05,3,Poor quality
220199,107879,12973,2024-05-03,5,Excellent
220200,115545,13884,2025-12-25,4,Poor quality
220201,103659,10440,2024-11-06,3,Excellent
220202,94717,11511,2025-10-07,4,Very good
220203,110122,14354,2025-03-06,5,Very good
220204,112388,14894,2024-05-11,3,Good
220205,115791,13966,2025-08-12,5,Very good
220206,91330,10743,2025-03-10,3,Average
220207,117799,14783,2024-06-27,4,Excellent
220208,91176,11054,2024-05-09,4,Excellent
220209,92592,14868,2026-08-15,4,Very good
220210,116245,11840,2024-04-04,2,Excellent
220211,106498,11776,2024-10-12,4,Good
220212,114531,11540,2026-05-05,5,Excellent
220213,114008,12397,2024-06-16,2,Could be better
220214,112893,14141,2024-04-14,3,Poor quality
220215,98409,10482,2025-01-07,5,Could be better
220216,109556,11454,2026-04-10,5,Average
220217,118261,10742,2024-03-01,4,Average
220218,102009,14803,2025-10-13,3,Good
220219,119560,13046,2026-03-13,3,Average
220220,109351,12018,2025-08-17,3,Excellent
220221,107078,13536,2025-10-27,4,Could be better
220222,103443,12647,2025-06-27,3,Good
220223,113789,12574,2026-07-19,3,Excellent
220224,103254,11292,2026-05-13,5,Very good
220225,103724,11916,2025-03-19,1,Excellent
220226,115733,11622,2026-04-29,4,Good
220227,96117,10837,2024-02-13,4,Average
220228,97141,14363,2026-08-22,3,Poor quality
220229,105816,12088,2025-08-31,4,Poor quality
220230,101499,10101,2024-07-15,5,Very good
220231,118477,12728,2026-05-24,4,Poor quality
220232,104221,13256,2025-04-16,4,Very good
220233,106950,14176,2024-12-17,4,Average
220234,109896,12737,2026-01-01,5,Poor quality
220235,110687,13447,2025-07-20,3,Excellent
220236,116524,12931,2024-07-31,1,Good
220237,93862,12932,2024-04-25,3,Poor quality
220238,113391,13164,2024-10-26,5,Very good
220239,100615,12676,2026-06-02,5,Good
220240,106499,11786,2025-03-29,2,Poor quality
220241,117784,11443,2024-03-02,4,Excellent
220242,115645,12738,2025-05-04,2,Could be better
220243,104807,14209,2024-03-20,5,Average
220244,107301,13843,2025-11-09,4,Excellent
220245,101284,11389,2026-02-15,5,Very good
220246,97030,11752,2024-09-09,4,Excellent
220247,120413,10524,2026-04-23,4,Average
220248,118590,12780,2025-12-28,5,Very good
220249,117471,14870,2024-08-07,3,Could be better
220250,119592,10087,2024-04-22,5,Poor quality
220251,109505,12904,2026-05-06,5,Good
220252,103380,13877,2024-07-28,3,Good
220253,115815,13502,2025-08-04,4,Poor quality
220254,94453,11361,2025-05-27,3,Average
220255,106522,11189,2024-09-08,3,Good
220256,110999,11080,2024-10-20,4,Good
220257,114362,14354,2025-03-23,4,Could be better
220258,95359,13887,2026-07-05,3,Good
220259,113293,13376,2026-04-26,4,Excellent
220260,92337,14040,2024-09-04,1,Could be better
220261,96638,10860,2024-08-01,5,Excellent
220262,120504,12714,2025-04-15,4,Average
220263,119796,10305,2025-07-09,5,Could be better
220264,100081,12127,2024-02-16,4,Excellent
220265,90660,11634,2026-02-13,5,Average
220266,91747,14412,2024-07-07,5,Could be better
220267,99932,11582,2025-03-24,3,Excellent
220268,118310,10779,2025-10-10,2,Average
220269,114579,10582,2024-01-28,4,Excellent
220270,97044,14094,2024-05-02,5,Average
220271,110075,11605,2026-06-21,5,Excellent
220272,104683,11421,2024-07-16,4,Excellent
220273,118377,14136,2024-11-15,4,Could be better
220274,96407,12031,2025-09-13,5,Good
220275,107965,14785,2025-12-23,4,Could be better
220276,99507,10674,2024-09-13,4,Excellent
220277,112498,14097,2024-05-15,5,Average
220278,117655,14501,2024-05-14,3,Excellent
220279,102948,10522,2024-07-11,3,Good
220280,117486,11449,2024-10-01,4,Average
220281,100095,11275,2024-09-28,4,Very good
220282,99704,10412,2024-06-24,5,Average
220283,101570,14964,2024-02-03,5,Average
220284,95999,14888,2026-03-22,2,Poor quality
220285,101004,11604,2024-01-29,5,Good
220286,103153,11163,2025-05-18,4,Very good
220287,112946,11706,2025-11-21,2,Average
220288,91337,10969,2025-08-29,5,Poor quality
220289,96226,14179,2025-12-12,2,Very good
220290,106145,11432,2026-05-25,5,Could be better
220291,101871,14573,2024-06-21,5,Excellent
220292,113262,12859,2025-03-16,4,Poor quality
220293,114096,13003,2025-05-09,4,Could be better
220294,110356,13014,2024-03-20,4,Could be better
220295,118784,11970,2025-06-17,4,Very good
220296,91148,10427,2024-02-25,4,Average
220297,111942,10816,2024-06-07,5,Very good
220298,102139,13631,2025-09-09,5,Very good
220299,92561,12357,2024-10-09,5,Excellent
220300,110308,11289,2025-08-26,2,Very good
220301,116126,13002,2025-07-18,3,Excellent
220302,108182,12663,2024-04-23,5,Could be better
220303,103262,12502,2025-10-31,4,Poor quality
220304,99074,12934,2024-09-26,4,Average
220305,102269,10857,2025-08-11,4,Average
220306,101413,13811,2024-09-08,4,Could be better
220307,108964,14045,2026-05-20,3,Average
220308,117607,12378,2025-04-15,2,Could be better
220309,109419,14677,2025-03-11,5,Good
220310,94809,12511,2026-03-26,5,Average
220311,117838,13465,2024-07-14,4,Excellent
220312,101192,13085,2025-08-24,1,Excellent
220313,92302,12951,2025-07-26,4,Could be better
220314,97854,10355,2026-08-16,4,Poor quality
220315,108567,11119,2024-12-08,4,Average
220316,111310,12148,2026-06-09,1,Poor quality
220317,110940,10746,2025-09-11,4,Very good
220318,120900,14086,2026-01-15,5,Could be better
220319,104383,10732,2024-06-11,5,Average
220320,94789,13109,2024-11-03,4,Could be better
220321,99376,10401,2025-01-25,2,Very good
220322,95247,12187,2025-06-06,4,Could be better
220323,96380,12021,2024-09-06,4,Could be better
220324,114950,13968,2024-05-12,5,Could be better
220325,92244,10676,2026-01-30,4,Average
220326,102762,14433,2026-06-22,4,Poor quality
220327,115158,13327,2024-12-18,5,Could be better
